Indiv NatalYear CoreNestling ImmCohort InclBr
6750 NA N 1994 Y
5 NA N 2001 Y
9 NA N 1994 Y
13 NA N 1998 Y
57 NA N NA Y
58 NA N 1991 Y
113 NA N 1992 Y
117 NA N 1995 Y
118 NA N 1995 Y
119 NA N 1995 Y
122 NA N 1995 Y
215 NA N NA N
218 NA N NA N
220 NA N NA N
221 NA N NA N
222 NA N NA N
224 NA N NA N
225 NA N NA Y
227 NA N NA N
242 NA N NA N
248 NA N NA N
249 NA N NA N
252 NA N NA N
254 NA N NA N
262 NA N NA Y
265 NA N NA N
267 NA N NA N
6910 NA N 1993 N
302 NA N 1996 Y
303 NA N 1996 Y
344 NA N 1998 Y
345 NA N 1997 Y
347 NA N 1997 Y
358 NA N NA N
359 NA N NA N
371 NA N NA Y
374 NA N NA N
377 NA N NA N
378 NA N NA N
381 NA N NA N
382 NA N NA N
384 NA N NA N
386 NA N NA N
390 NA N NA N
418 NA N NA N
425 NA N NA N
427 NA N NA Y
428 NA N NA Y
429 NA N NA Y
431 NA N NA Y
432 NA N NA Y
435 NA N NA Y
437 NA N NA Y
449 NA N NA Y
452 NA N NA Y
457 NA N NA Y
459 NA N NA Y
462 1990 N NA N
463 1990 N NA N
464 1990 N NA N
465 1990 N NA N
470 1990 Y NA N
471 1990 Y NA N
496 1990 Y NA N
497 1990 Y NA N
498 1990 Y NA N
508 NA N 2001 Y
509 NA N 2000 Y
511 NA N 2000 Y
512 NA N 2000 Y
550 NA N 2000 Y
588 NA N NA Y
6889 NA N 1999 N
6890 NA N 1999 N
589 NA N NA Y
6901 NA N 2000 N
722 2002 Y NA N
723 2002 Y NA N
724 2002 Y NA N
733 NA N 2000 Y
778 NA N 1997 Y
779 NA N 2000 Y
786 NA N 2001 Y
6908 NA N 2000 N
795 NA N NA Y
807 NA N 2000 Y
808 NA N 2001 Y
809 NA N NA Y
817 NA N 2002 N
897 NA N 2001 Y
997 NA N 1999 Y
998 NA N 1998 Y
999 NA N 1998 Y
1002 NA N 2000 Y
1005 NA N 1999 Y
1006 NA N 2000 Y
1025 NA N 2000 Y
6899 NA N 1999 N
1125 NA N 2000 Y
1126 NA N 2000 Y
1130 NA N 2001 Y
1131 NA N 1996 Y
1135 NA N 2000 Y
1137 NA N 2000 Y
1138 NA N 2000 Y
1139 NA N 2000 Y
1141 NA N 2001 Y
1143 NA N 2000 Y
1185 2002 N NA N
1186 2002 N NA N
1206 NA N 1995 Y
1238 NA N 1996 Y
1242 NA N 1997 Y
1244 NA N 1997 Y
1247 NA N 1996 Y
1248 NA N 1997 Y
1253 NA N 1997 Y
1254 NA N 1997 Y
1255 NA N 1996 Y
1261 NA N 1997 Y
1266 NA N 1997 Y
1267 NA N 1996 Y
1271 NA N 1996 Y
1285 NA N 1996 Y
1296 NA N 1996 Y
1302 NA N 1997 Y
1303 NA N 1996 Y
1306 NA N 1996 Y
1309 NA N 1995 Y
1310 NA N 1997 Y
1311 NA N 1996 Y
1312 NA N 1996 Y
1314 NA N 1997 Y
1315 NA N 1996 Y
1378 NA N 1996 Y
1379 NA N 1996 Y
1380 NA N 1996 Y
1382 NA N 1997 Y
1383 NA N 1997 Y
1384 NA N 1997 Y
1386 NA N 1997 Y
1396 NA N NA N
1402 NA N NA N
1404 NA N NA N
1406 NA N NA N
1407 NA N NA N
1411 NA N NA N
1412 NA N NA N
1415 NA N NA N
1416 NA N NA N
1417 NA N NA N
1419 NA N NA N
1436 NA N NA Y
1437 NA N NA Y
1438 NA N NA Y
1440 NA N 1991 Y
1441 NA N 1991 Y
1443 NA N 1991 Y
1453 NA N NA Y
1461 NA N NA Y
1464 NA N NA Y
1468 NA N NA Y
1471 NA N NA Y
1472 NA N NA Y
1486 NA N NA Y
1491 NA N 1991 Y
1509 1992 Y NA N
1510 1992 Y NA N
1511 1992 Y NA Y
1512 NA N NA Y
1514 NA N NA N
1515 NA N NA N
1516 NA N NA N
1517 NA N NA N
1518 NA N NA N
1521 NA N NA N
1524 NA N NA N
1525 NA N NA N
1527 NA N NA N
1528 NA N NA N
1529 NA N NA N
1531 NA N NA N
1532 NA N NA Y
1533 NA N NA N
1534 NA N NA N
1535 NA N NA N
1536 NA N NA N
1537 NA N NA N
1540 NA N NA N
1541 NA N NA N
1542 NA N NA N
1543 NA N NA Y
1544 NA N NA N
1545 NA N NA Y
1546 NA N NA N
1547 NA N NA N
1551 NA N NA N
1553 NA N NA N
1554 NA N NA N
1557 NA N NA N
1559 NA N NA N
1562 NA N NA N
1564 NA N NA N
1565 NA N NA N
1568 NA N NA N
1569 NA N NA N
1570 NA N NA N
1571 NA N NA N
1572 NA N NA N
1575 NA N NA N
1578 NA N NA N
1581 NA N NA N
1582 NA N NA N
1584 NA N NA N
1585 NA N NA N
1586 NA N NA Y
1587 NA N NA N
1588 NA N NA N
1589 NA N NA N
1590 NA N NA N
1591 NA N NA N
1592 NA N NA N
1597 1990 N NA N
1598 1990 N NA N
1602 1990 N NA N
1603 1990 N NA N
1604 1990 N NA N
1605 1990 N NA Y
1608 1990 N NA Y
1609 1990 N NA N
1614 NA N NA Y
1615 1990 N NA Y
1616 1990 N NA N
1617 1990 N NA N
1618 1990 N NA N
1619 1990 N NA N
1620 1990 N NA N
1622 1990 N NA N
1623 1990 N NA N
1624 1990 N NA N
1625 1990 N NA N
1626 1990 N NA N
1629 1990 Y NA N
1630 1990 Y NA N
1631 1990 Y NA N
1632 1990 Y NA N
1634 NA N NA Y
1635 1990 N NA N
1636 1990 N NA N
1637 1990 N NA N
1638 1990 N NA N
1639 1990 N NA N
1644 NA N NA Y
1648 1990 Y NA N
1649 1990 Y NA N
1650 1990 Y NA N
1651 1990 Y NA N
1662 1990 N NA Y
1675 NA N NA Y
1676 NA N NA Y
1677 NA N NA Y
1678 1990 N NA N
1679 1990 N NA N
1680 1990 N NA N
1681 1990 N NA N
1682 1990 Y NA N
1683 1990 Y NA N
1684 1990 Y NA N
1691 NA N NA Y
1692 NA N NA Y
1693 NA N NA Y
1694 1990 Y NA Y
1695 NA N NA Y
1697 NA N NA Y
1703 NA N NA Y
1704 NA N NA Y
1709 NA N NA Y
1712 NA N NA Y
1713 NA N NA Y
1716 NA N NA Y
1717 NA N NA Y
1718 NA N NA Y
1727 1991 Y NA N
1728 1991 Y NA N
1730 NA N NA Y
1731 1991 Y NA N
1732 1991 Y NA N
1741 1991 N NA N
1742 1991 N NA N
1743 1991 N NA N
1748 1991 Y NA N
1749 1991 Y NA N
1750 1991 Y NA N
1751 1991 Y NA N
1759 NA N NA Y
1767 1991 Y NA Y
1768 1991 Y NA N
1769 1991 Y NA N
1770 1991 Y NA N
1788 1991 Y NA N
1789 1991 Y NA N
1790 1991 Y NA N
1794 1991 Y NA Y
1795 1991 Y NA N
1799 1991 Y NA N
1800 1991 Y NA N
1801 1991 Y NA N
1802 1991 Y NA Y
1803 1991 Y NA N
1804 1991 Y NA N
1805 1991 Y NA N
1806 1991 Y NA N
1807 1991 Y NA N
1808 1991 Y NA N
1809 1991 Y NA N
1810 1991 Y NA N
1819 NA N NA Y
1825 1991 Y NA N
1826 1991 Y NA N
1833 1991 N NA N
1834 1991 N NA N
1835 1991 N NA N
1836 1991 N NA N
1837 1991 N NA N
1838 1991 N NA N
1839 1991 N NA N
1840 1991 N NA N
1841 1991 N NA N
1842 1991 N NA N
1845 1991 N NA N
1846 1991 N NA N
1847 1991 N NA N
1848 NA N NA Y
1851 NA N NA Y
1856 1991 Y NA N
1857 1991 Y NA N
1858 1991 Y NA N
1862 1991 N NA Y
1863 1991 N NA N
1864 1991 N NA N
1865 1991 N NA Y
1866 1991 N NA N
1867 1991 N NA N
1870 1991 N NA N
1871 1991 N NA Y
1875 1991 N NA N
1876 1991 N NA N
1877 1991 N NA N
1879 1991 N NA Y
1880 1991 N NA Y
1883 1991 N NA N
1889 1992 Y NA N
1890 1992 Y NA N
1891 1992 Y NA N
1892 NA N 1991 Y
1893 NA N 1991 Y
1896 NA N 1991 Y
1899 NA N 1991 Y
1900 NA N 1991 Y
1905 NA N 1991 Y
1908 NA N 1991 Y
1911 NA N 1991 Y
1912 NA N 1992 Y
1913 NA N 1992 Y
1915 NA N 1991 Y
1916 NA N 1991 Y
1917 NA N 1991 Y
1920 NA N 1991 Y
1921 NA N 1991 Y
1922 NA N 1991 Y
1924 NA N 1991 Y
1929 NA N 1992 Y
1930 NA N 1991 Y
1931 NA N 1991 Y
1933 NA N 1991 Y
1938 1993 N NA N
1939 1993 N NA N
1941 NA N 1991 Y
1942 1993 N NA N
1943 1993 N NA N
1944 1993 N NA N
1945 1993 N NA N
1948 1993 N NA N
1949 1993 N NA N
1950 1993 N NA N
1958 1993 N NA N
1959 1993 N NA N
1966 1993 N NA N
1967 1993 N NA N
1968 1993 N NA N
1969 1993 N NA N
1970 1993 N NA N
1972 1993 N NA N
1973 1993 N NA N
1974 1993 N NA N
1975 1993 N NA N
1976 1993 N NA N
1977 1993 N NA Y
1978 1993 N NA N
1982 1993 N NA Y
1983 1993 N NA N
1984 1993 N NA N
1985 1993 N NA N
1986 1993 N NA N
1987 1993 N NA N
1989 NA N 1993 N
2011 1993 Y NA Y
2012 1993 Y NA N
2013 1993 Y NA Y
2014 1993 Y NA Y
2024 1993 Y NA N
2025 1993 Y NA N
2038 1993 Y NA N
2039 1993 Y NA N
2040 1993 Y NA N
2041 1993 Y NA N
2042 1993 Y NA N
2043 1993 Y NA N
2044 1993 Y NA N
2054 1993 Y NA N
2055 1993 Y NA Y
2056 1993 Y NA N
2057 1993 Y NA N
2058 1993 Y NA N
2059 1993 Y NA N
2062 NA N 1991 Y
2063 1993 Y NA N
2064 1993 Y NA N
2065 1993 Y NA Y
2066 1993 Y NA Y
