Indiv	NatalYear	CoreNestling	ImmCohort	InclBr
963-80576	NA	N	1994	Y
1000-00008	NA	N	2001	Y
1000-00036	NA	N	1994	Y
1000-00042	NA	N	1998	Y
1013-63345	NA	N	NA	Y
1013-63346	NA	N	1991	Y
1013-63445	NA	N	1992	Y
1043-44205	NA	N	1995	Y
1043-44206	NA	N	1995	Y
1043-44207	NA	N	1995	Y
1043-44210	NA	N	1995	Y
1043-80103	NA	N	NA	N
1043-80109	NA	N	NA	N
1043-80113	NA	N	NA	N
1043-80114	NA	N	NA	N
1043-80116	NA	N	NA	N
1043-80120	NA	N	NA	N
1043-80121	NA	N	NA	Y
1043-80124	NA	N	NA	N
1043-80184	NA	N	NA	N
1043-80207	NA	N	NA	N
1043-80208	NA	N	NA	N
1043-80214	NA	N	NA	N
1043-80217	NA	N	NA	N
1043-80255	NA	N	NA	Y
1043-80276	NA	N	NA	N
1043-80278	NA	N	NA	N
UM14_TP56m	NA	N	1993	N
1043-90530	NA	N	1996	Y
1043-90531	NA	N	1996	Y
1043-90572	NA	N	1998	Y
1043-90573	NA	N	1997	Y
1043-90575	NA	N	1997	Y
1053-14439	NA	N	NA	N
1053-14440	NA	N	NA	N
1053-14467	NA	N	NA	Y
1053-14473	NA	N	NA	N
1053-14482	NA	N	NA	N
1053-14483	NA	N	NA	N
1053-14490	NA	N	NA	N
1053-14492	NA	N	NA	N
1053-14498	NA	N	NA	N
1053-14500	NA	N	NA	N
1053-56509	NA	N	NA	N
1053-56664	NA	N	NA	N
1053-56708	NA	N	NA	N
1053-56723	NA	N	NA	Y
1053-56724	NA	N	NA	Y
1053-56725	NA	N	NA	Y
1053-56728	NA	N	NA	Y
1053-56729	NA	N	NA	Y
1053-56732	NA	N	NA	Y
1053-56734	NA	N	NA	Y
1053-56746	NA	N	NA	Y
1053-56749	NA	N	NA	Y
1053-56754	NA	N	NA	Y
1053-56756	NA	N	NA	Y
1053-56759	1990	N	NA	N
1053-56760	1990	N	NA	N
1053-56761	1990	N	NA	N
1053-56762	1990	N	NA	N
1053-56767	1990	Y	NA	N
1053-56768	1990	Y	NA	N
1053-56795	1990	Y	NA	N
1053-56796	1990	Y	NA	N
1053-56797	1990	Y	NA	N
1063-42807	NA	N	2001	Y
1063-42808	NA	N	2000	Y
1063-42810	NA	N	2000	Y
1063-42811	NA	N	2000	Y
1063-42851	NA	N	2000	Y
1063-42890	NA	N	NA	Y
UB5f_2k	NA	N	1999	N
UB5m_2k	NA	N	1999	N
1063-42891	NA	N	NA	Y
UF16_BOQmom	NA	N	2000	N
1063-43122	2002	Y	NA	N
1063-43123	2002	Y	NA	N
1063-43124	2002	Y	NA	N
1063-43134	NA	N	2000	Y
1063-43179	NA	N	1997	Y
1063-43180	NA	N	2000	Y
1063-43187	NA	N	2001	Y
UM12_OWQdad	NA	N	2000	N
1063-43196	NA	N	NA	Y
1063-43409	NA	N	2000	Y
1063-43410	NA	N	2001	Y
1063-43411	NA	N	NA	Y
1063-43419	NA	N	2002	N
1063-43506	NA	N	2001	Y
1063-48604	NA	N	1999	Y
1063-48605	NA	N	1998	Y
1063-48606	NA	N	1998	Y
1063-48609	NA	N	2000	Y
1063-48612	NA	N	1999	Y
1063-48613	NA	N	2000	Y
1063-48632	NA	N	2000	Y
UF13_FKZWmom	NA	N	1999	N
1063-48932	NA	N	2000	Y
1063-48933	NA	N	2000	Y
1063-48937	NA	N	2001	Y
1063-48938	NA	N	1996	Y
1063-48942	NA	N	2000	Y
1063-48944	NA	N	2000	Y
1063-48945	NA	N	2000	Y
1063-48946	NA	N	2000	Y
1063-48948	NA	N	2001	Y
1063-48950	NA	N	2000	Y
1063-48992	2002	N	NA	N
1063-48993	2002	N	NA	N
1163-68213	NA	N	1995	Y
1163-68245	NA	N	1996	Y
1163-68249	NA	N	1997	Y
1163-68251	NA	N	1997	Y
1163-68254	NA	N	1996	Y
1163-68255	NA	N	1997	Y
1163-68260	NA	N	1997	Y
1163-68261	NA	N	1997	Y
1163-68262	NA	N	1996	Y
1163-68268	NA	N	1997	Y
1163-68273	NA	N	1997	Y
1163-68274	NA	N	1996	Y
1163-68278	NA	N	1996	Y
1163-68291	NA	N	1996	Y
1173-04902	NA	N	1996	Y
1173-04908	NA	N	1997	Y
1173-04909	NA	N	1996	Y
1173-04912	NA	N	1996	Y
1173-04915	NA	N	1995	Y
1173-04916	NA	N	1997	Y
1173-04917	NA	N	1996	Y
1173-04918	NA	N	1996	Y
1173-04921	NA	N	1997	Y
1173-04922	NA	N	1996	Y
1173-04985	NA	N	1996	Y
1173-04986	NA	N	1996	Y
1173-04987	NA	N	1996	Y
1173-04989	NA	N	1997	Y
