Indiv Status
-nnq6461 0
-nnq6462 0
-WC 0
0-00000 0
1000-00008 0
1000-00027 0
1000-00028 0
1000-00029 0
1000-00036 0
1000-00038 0
1000-00039 0
1000-00040 0
1000-00042 0
1013-63301 0
1013-63302 0
1013-63303 0
1013-63304 0
1013-63305 0
1013-63306 0
1013-63307 0
1013-63308 0
1013-63309 0
1013-63310 0
1013-63311 0
1013-63312 0
1013-63313 0
1013-63314 0
1013-63315 0
1013-63316 0
1013-63317 0
1013-63318 0
1013-63319 0
1013-63320 0
1013-63321 0
1013-63322 0
1013-63324 0
1013-63325 0
1013-63326 0
1013-63327 0
1013-63328 0
1013-63329 0
1013-63330 0
1013-63331 0
1013-63332 0
1013-63333 0
1013-63334 0
1013-63335 0
1013-63336 0
1013-63337 0
1013-63338 0
1013-63339 0
1013-63340 0
1013-63341 0
1013-63342 0
1013-63343 0
1013-63344 0
1013-63345 0
1013-63346 0
1013-63347 0
1013-63348 0
1013-63349 0
1013-63350 0
1013-63351 0
1013-63352 0
1013-63353 0
1013-63354 0
1013-63355 0
1013-63356 0
1013-63357 0
1013-63358 0
1013-63359 0
1013-63360 0
1013-63361 0
1013-63362 0
1013-63363 0
1013-63364 0
1013-63365 0
1013-63366 0
1013-63367 0
1013-63368 0
1013-63369 0
1013-63370 0
1013-63371 0
1013-63372 0
1013-63373 0
1013-63374 0
1013-63375 0
1013-63376 0
1013-63377 0
1013-63378 0
1013-63379 0
1013-63380 0
1013-63381 0
1013-63382 0
1013-63383 0
1013-63384 0
1013-63385 0
1013-63386 0
1013-63387 0
1013-63388 0
1013-63389 0
1013-63390 0
1013-63391 0
1013-63392 0
1013-63393 0
1013-63394 0
1013-63395 0
1013-63396 0
1013-63397 0
1013-63398 0
1013-63399 0
1013-63400 0
1013-63445 0
1013-63447 0
1043-44203 0
1043-44204 0
1043-44205 0
1043-44206 0
1043-44207 0
1043-44208 0
1043-44209 0
1043-44210 0
1043-44211 0
1043-44212 0
