cohort allele allele_count all_alleles_count frequency_of_allele cohort_year
0 0 262 262 1.000000 1990
1 0 370 370 1.000000 1991
2 0 236 236 1.000000 1992
3 0 466 466 1.000000 1993
4 0 412 412 1.000000 1994
5 0 196 196 1.000000 1995
6 0 408 408 1.000000 1996
7 0 466 466 1.000000 1997
8 0 282 282 1.000000 1998
9 0 632 632 1.000000 1999
10 0 440 440 1.000000 2000
11 0 440 440 1.000000 2001
12 0 634 634 1.000000 2002
13 0 402 402 1.000000 2003
14 0 564 564 1.000000 2004
15 0 544 544 1.000000 2005
16 0 568 568 1.000000 2006
17 0 336 336 1.000000 2007
18 0 714 714 1.000000 2008
19 0 274 274 1.000000 2009
20 0 648 648 1.000000 2010
21 0 774 774 1.000000 2011
22 0 236 236 1.000000 2012
23 0 594 594 1.000000 2013
24 0 316 316 1.000000 2014
