cohort allele allele_count all_alleles_count
0 1 262 1000000
1 1 370 1000000
2 0 11 1
2 1 225 1
2 1 236 999999
3 0 5 1
3 1 409 1
3 1 414 999999
3 2 27 1000000
3 3 21 1000000
3 4 4 1000000
4 0 10 1
4 1 311 1
4 1 321 999999
4 2 21 1000000
4 3 27 1000000
4 4 16 1000000
4 5 21 1000000
4 6 6 1000000
5 1 162 1000000
5 2 7 1000000
5 3 5 1000000
5 4 10 125138
5 4 11 374682
5 4 12 375100
5 4 13 125080
5 5 3 125080
5 5 4 375100
5 5 5 374682
5 5 6 125138
5 7 4 1000000
5 9 2 1000000
6 0 9 1
6 1 250 8
6 1 251 140
6 1 252 1090
6 1 253 5284
6 1 254 18232
6 1 255 47134
6 1 256 94842
6 1 257 147923
6 1 258 185386
6 1 259 186103
6 1 260 148243
6 1 261 94486
6 1 262 46861
6 1 263 18008
6 1 264 5098
6 1 265 1028
6 1 266 128
6 1 267 6
6 2 19 10
6 2 20 226
6 2 21 1770
6 2 22 8430
6 2 23 27894
6 2 24 66587
6 2 25 122150
6 2 26 174359
6 2 27 197000
6 2 28 174001
6 2 29 122437
6 2 30 66661
6 2 31 27890
6 2 32 8470
6 2 33 1843
6 2 34 257
6 2 35 15
6 3 25 3941
6 3 26 31358
6 3 27 109097
6 3 28 218017
6 3 29 273939
6 3 30 218719
6 3 31 109652
6 3 32 31392
6 3 33 3885
6 4 17 964
6 4 18 9674
6 4 19 44069
6 4 20 116877
6 4 21 204845
6 4 22 246669
6 4 23 204626
6 4 24 117357
6 4 25 44139
6 4 26 9723
6 4 27 1057
6 5 12 7897
6 5 13 54884
6 5 14 164176
6 5 15 273248
6 5 16 272987
6 5 17 164616
6 5 18 54432
6 5 19 7760
6 6 5 1000000
6 7 26 1000000
6 8 8 1000000
6 9 15 1000000
6 10 2 1000000
7 0 109 1
7 1 183 1
7 1 264 23
7 1 265 166
7 1 266 1016
7 1 267 4515
7 1 268 14814
7 1 269 36967
7 1 270 74003
7 1 271 120652
7 1 272 159887
7 1 273 176412
7 1 274 159949
7 1 275 120460
7 1 276 74125
7 1 277 36481
7 1 278 14570
7 1 279 4602
7 1 280 1141
7 1 281 193
7 1 282 23
7 2 9 4
7 2 10 54
7 2 11 603
7 2 12 3133
7 2 13 11557
7 2 14 32922
7 2 15 70725
7 2 16 121318
7 2 17 166943
7 2 18 185163
7 2 19 167254
7 2 20 121555
7 2 21 70918
7 2 22 32436
7 2 23 11754
7 2 24 3032
7 2 25 567
7 2 26 60
7 2 27 2
7 3 25 144
7 3 26 1533
7 3 27 9625
7 3 28 34491
7 3 29 87776
7 3 30 156911
7 3 31 209387
7 3 32 209594
7 3 33 157231
7 3 34 87430
7 3 35 34660
7 3 36 9506
7 3 37 1602
7 3 38 110
7 4 22 1909
7 4 23 17479
7 4 24 70605
7 4 25 164009
7 4 26 245524
7 4 27 246636
7 4 28 163993
7 4 29 70017
7 4 30 17782
7 4 31 2046
7 5 8 15767
7 5 9 94014
7 5 10 234127
7 5 11 311711
7 5 12 235033
7 5 13 93981
7 5 14 15367
7 6 5 124381
7 6 6 374778
7 6 7 376170
7 6 8 124671
7 7 21 125011
7 7 22 374743
7 7 23 375013
7 7 24 125233
7 8 15 1000000
7 9 37 1000000
7 10 11 1000000
