cohort allele allele_count all_alleles_count frequency_of_allele cohort_year
0 0 238 238 1.000000 1990
1 0 304 304 1.000000 1991
2 0 212 212 1.000000 1992
3 0 415 415 1.000000 1993
4 0 393 393 1.000000 1994
5 0 153 153 1.000000 1995
6 0 358 358 1.000000 1996
7 0 453 453 1.000000 1997
8 0 258 258 1.000000 1998
9 0 546 546 1.000000 1999
10 0 377 377 1.000000 2000
11 0 384 384 1.000000 2001
12 0 544 544 1.000000 2002
13 0 306 306 1.000000 2003
14 0 469 469 1.000000 2004
15 0 407 407 1.000000 2005
16 0 415 415 1.000000 2006
17 0 259 259 1.000000 2007
18 0 543 543 1.000000 2008
19 0 210 210 1.000000 2009
20 0 479 479 1.000000 2010
21 0 581 581 1.000000 2011
22 0 176 176 1.000000 2012
23 0 452 452 1.000000 2013
24 0 313 313 1.000000 2014
