cohort allele allele_count all_alleles_count
0 1 238 1000000
1 1 304 1000000
2 0 11 1
2 1 201 1
2 1 212 999999
3 0 5 1
3 1 366 1
3 1 371 999999
3 2 27 1000000
3 3 13 1000000
3 4 4 1000000
4 0 13 1
4 1 293 1
4 1 306 999999
4 2 21 1000000
4 3 23 1000000
4 4 16 1000000
4 5 21 1000000
4 6 6 1000000
5 1 124 1000000
5 2 7 1000000
5 3 2 1000000
5 4 13 1000000
5 5 2 1000000
5 7 3 1000000
5 9 2 1000000
6 0 10 1
6 1 224 1
6 1 229 3924
6 1 230 31603
6 1 231 109414
6 1 232 218677
6 1 233 273077
6 1 234 218733
6 1 235 108956
6 1 236 31643
6 1 237 3972
6 2 22 3860
6 2 23 31271
6 2 24 109561
6 2 25 218148
6 2 26 273007
6 2 27 219396
6 2 28 109620
6 2 29 31201
6 2 30 3936
6 3 19 125104
6 3 20 375290
6 3 21 375332
6 3 22 124274
6 4 21 125310
6 4 22 374404
6 4 23 374951
6 4 24 125335
6 5 6 1000000
6 6 5 1000000
6 7 24 1000000
6 8 8 1000000
6 9 11 1000000
6 10 2 1000000
7 0 109 1
7 1 176 1
7 1 256 74
7 1 257 888
7 1 258 5427
7 1 259 21997
7 1 260 61390
7 1 261 121888
7 1 262 182542
7 1 263 210024
7 1 264 183265
7 1 265 122666
7 1 266 61120
7 1 267 22299
7 1 268 5456
7 1 269 902
7 1 270 61
7 2 12 1
7 2 19 3882
7 2 20 31435
7 2 21 109949
7 2 22 218130
7 2 23 274061
7 2 24 218371
7 2 25 109484
7 2 26 30874
7 2 27 3813
7 3 22 3900
7 3 23 31219
7 3 24 109096
7 3 25 219293
7 3 26 272587
7 3 27 219874
7 3 28 109013
7 3 29 31152
7 3 30 3866
7 4 25 1
7 4 27 62395
7 4 28 250815
7 4 29 374617
7 4 30 249932
7 4 31 62240
7 5 8 249697
7 5 9 500081
7 5 10 250222
7 6 5 124968
7 6 6 374972
7 6 7 375258
7 6 8 124802
7 7 21 124550
7 7 22 375295
7 7 23 375238
7 7 24 124917
7 8 15 1000000
7 9 35 1000000
7 10 11 1000000
7 11 11 1000000
7 12 2 1000000
8 0 92 1
8 1 48 1
8 1 122 125076
8 1 123 250129
8 1 124 250101
8 1 125 249351
8 1 126 125342
8 2 2 1
