Fam ID Dad Mom Sex Pheno
1 1 4656 4692 2 -9
1 2 4656 4692 1 -9
2 3 0 0 1 -9
1 4 1025 3274 0 -9
1 5 0 0 2 -9
6 6 0 0 0 -9
7 7 0 0 0 -9
8 8 0 0 0 -9
1 9 0 0 2 -9
9 10 0 0 0 -9
10 11 0 0 0 -9
11 12 0 0 2 -9
1 13 0 0 2 -9
1 14 1520 1406 1 -9
1 15 1519 358 0 -9
1 16 1519 358 0 -9
1 17 1519 358 0 -9
60 18 0 0 0 -9
886 19 1707 1700 0 -9
886 20 1707 1700 0 -9
1 21 1395 427 0 -9
1 22 1395 427 0 -9
1 23 489 1634 0 -9
1 24 489 1634 0 -9
1 25 489 1634 2 -9
1 26 231 243 2 -9
1 27 1605 1545 0 -9
1 28 1605 1545 0 -9
1 29 418 1574 1 -9
1 30 1585 1547 0 -9
1 31 1585 1547 0 -9
1 32 1585 1547 0 -9
616 33 1484 1482 2 -9
616 34 1484 1482 2 -9
616 35 1484 1482 0 -9
1 36 1554 1848 0 -9
1 37 1554 1848 0 -9
1 38 1563 1693 0 -9
1 39 1563 1693 0 -9
1 40 1563 1693 0 -9
1 41 1481 1523 2 -9
1 42 1481 1523 1 -9
1 43 1481 1523 0 -9
1 44 428 1717 0 -9
1 45 428 1717 0 -9
1 46 352 384 0 -9
1 47 352 384 2 -9
1 48 352 384 0 -9
61 49 0 0 2 -9
1 50 381 1544 0 -9
1 51 381 1544 0 -9
1 52 381 1544 0 -9
1 53 381 1544 1 -9
1 54 359 1759 0 -9
1 55 359 1759 0 -9
1 56 359 1759 0 -9
1 57 0 0 2 -9
1 58 0 0 2 -9
1 59 1410 386 0 -9
1 60 1410 386 1 -9
1 61 1410 386 0 -9
1 62 1709 459 0 -9
1 63 1709 459 0 -9
1 64 1709 459 0 -9
62 65 0 0 2 -9
63 66 0 0 2 -9
1 67 1584 1411 2 -9
1 68 1584 1411 0 -9
1 69 1584 1411 0 -9
1 70 268 1677 2 -9
1 71 268 1677 2 -9
1 72 268 1677 1 -9
1 73 437 449 0 -9
1 74 437 449 0 -9
1 75 437 449 0 -9
1 76 258 262 2 -9
1 77 258 262 0 -9
1 78 258 262 2 -9
1 79 234 227 2 -9
1 80 234 227 2 -9
1 81 1884 374 1 -9
1 82 1884 374 0 -9
1 83 1884 374 0 -9
1 84 1557 1611 0 -9
1 85 1557 1611 0 -9
1 86 1557 1611 0 -9
1 87 244 421 0 -9
1 88 244 421 1 -9
1 89 244 421 0 -9
1 90 1536 1551 0 -9
1 91 1536 1551 2 -9
1 92 233 2783 1 -9
1 93 233 2783 0 -9
1 94 233 2783 2 -9
1 95 1558 1675 0 -9
1 96 1558 1675 0 -9
1 97 1558 1675 0 -9
1 98 2243 57 1 -9
1 99 2243 57 1 -9
1 100 260 256 1 -9
1 101 260 256 0 -9
1 102 476 353 2 -9
1 103 1583 259 0 -9
1 104 387 1396 0 -9
1 105 387 1396 0 -9
1 106 1589 1654 0 -9
1 107 1589 1654 0 -9
1 108 1589 1654 0 -9
1 109 1851 1614 0 -9
1 110 1851 1614 0 -9
1 111 1851 1614 0 -9
64 112 0 0 2 -9
1 113 0 0 1 -9
1 114 0 0 2 -9
107 115 0 0 0 -9
108 116 0 0 1 -9
1 117 0 0 1 -9
1 118 0 0 2 -9
1 119 0 0 1 -9
109 120 0 0 0 -9
110 121 0 0 1 -9
1 122 0 0 2 -9
1 123 2013 2008 0 -9
1 124 2013 2008 0 -9
1 125 2013 2008 0 -9
1 126 2013 2008 0 -9
1 127 2047 2617 0 -9
1 128 2047 2617 1 -9
1 129 81 2187 0 -9
1 130 81 2187 0 -9
1 131 1436 2564 0 -9
1 132 1436 2564 0 -9
1 133 418 1574 2 -9
1 134 418 1574 0 -9
1 135 418 1574 1 -9
1 136 2506 2527 0 -9
1 137 119 1461 0 -9
1 138 119 1461 0 -9
1 139 119 1461 0 -9
1 140 119 1461 0 -9
1 141 474 1900 0 -9
1 142 474 1900 0 -9
1 143 474 1900 0 -9
1 144 474 1900 0 -9
1 145 2228 2036 0 -9
1 146 1896 2482 0 -9
1 147 1896 2482 0 -9
1 148 487 2193 0 -9
1 149 487 2193 0 -9
1 150 487 2193 1 -9
1 151 588 1718 0 -9
1 152 588 1718 0 -9
1 153 588 1718 0 -9
1 154 588 1718 0 -9
1 155 1716 2237 0 -9
1 156 1716 2237 0 -9
1 157 2734 2381 0 -9
1 158 2734 2381 0 -9
1 159 2734 2381 0 -9
1 160 2734 2381 2 -9
1 161 2272 2633 2 -9
1 162 2272 2633 0 -9
1 163 2272 2633 0 -9
1 164 2049 2636 0 -9
1 165 2049 2636 0 -9
1 166 2049 2636 1 -9
1 167 224 218 0 -9
1 168 224 218 0 -9
1 169 224 218 0 -9
1 170 2155 2065 0 -9
1 171 2155 2065 0 -9
1 172 1899 58 0 -9
1 173 1899 58 0 -9
1 174 1899 58 0 -9
1 175 1999 2528 0 -9
1 176 1999 2528 0 -9
1 177 1689 2782 0 -9
1 178 1689 2782 0 -9
1 179 1689 2782 0 -9
1 180 1689 2782 0 -9
1 181 2213 2492 0 -9
1 182 2213 2492 0 -9
1 183 2213 2492 0 -9
1 184 1892 2067 0 -9
1 185 1892 2067 0 -9
1 186 1892 2067 2 -9
1 187 1628 2619 0 -9
1 188 1628 2619 0 -9
1 189 1628 2619 0 -9
1 190 2443 25 0 -9
1 191 2443 25 0 -9
1 192 2443 25 0 -9
111 193 0 0 1 -9
1 194 2080 2450 0 -9
1 195 2080 2450 0 -9
1 196 2266 2023 0 -9
1 197 2266 2023 0 -9
1 198 2266 2023 0 -9
1 199 3234 2211 0 -9
1 200 3234 2211 0 -9
1 201 3234 2211 0 -9
1 202 3234 2211 1 -9
1 203 2510 122 2 -9
1 204 113 2570 0 -9
1 205 2522 2783 0 -9
1 206 2522 2783 2 -9
1 207 2027 2500 0 -9
1 208 2027 2500 0 -9
1 209 2027 2500 0 -9
1 210 2027 2500 0 -9
1 211 1481 1523 0 -9
1 212 1481 1523 0 -9
1 213 1481 1523 1 -9
1 214 0 0 2 -9
1 215 0 0 2 -9
1 216 0 0 2 -9
1 217 0 0 1 -9
1 218 0 0 2 -9
1 219 0 0 2 -9
1 220 0 0 2 -9
1 221 0 0 2 -9
1 222 0 0 2 -9
1 223 0 0 1 -9
1 224 0 0 1 -9
1 225 0 0 2 -9
1 226 0 0 2 -9
1 227 0 0 2 -9
1 228 0 0 1 -9
1 229 0 0 2 -9
1 230 0 0 1 -9
1 231 0 0 1 -9
1 232 0 0 1 -9
1 233 0 0 1 -9
1 234 0 0 1 -9
1 235 0 0 1 -9
1 236 0 0 2 -9
1 237 0 0 2 -9
1 238 0 0 2 -9
1 239 0 0 1 -9
1 240 0 0 2 -9
1 241 0 0 1 -9
1 242 0 0 1 -9
1 243 0 0 2 -9
1 244 0 0 1 -9
1 245 0 0 2 -9
123 246 0 0 2 -9
125 247 0 0 1 -9
1 248 0 0 2 -9
1 249 0 0 1 -9
126 250 0 0 1 -9
130 251 0 0 2 -9
1 252 0 0 2 -9
131 253 0 0 2 -9
1 254 0 0 1 -9
132 255 0 0 2 -9
1 256 0 0 2 -9
1 257 0 0 1 -9
1 258 0 0 1 -9
1 259 0 0 2 -9
1 260 0 0 1 -9
1 261 0 0 2 -9
1 262 0 0 2 -9
1 263 0 0 2 -9
1 264 0 0 2 -9
1 265 0 0 1 -9
1 266 0 0 1 -9
1 267 0 0 2 -9
1 268 0 0 1 -9
1 269 0 0 2 -9
566 270 0 0 1 -9
566 271 0 0 2 -9
1 272 0 0 2 -9
1 273 1520 2462 1 -9
1 274 1520 2462 1 -9
1 275 1520 2462 2 -9
1 276 1520 2462 2 -9
1 277 6910 2883 2 -9
137 278 0 0 2 -9
1 279 2283 389 0 -9
1 280 2283 389 0 -9
1 281 2283 389 0 -9
1 282 2283 389 0 -9
1 283 302 303 0 -9
1 284 790 1574 0 -9
1 285 790 1574 0 -9
1 286 81 2187 0 -9
1 287 2155 2065 1 -9
1 288 2155 2065 0 -9
1 289 2155 2065 0 -9
1 290 2508 2681 1 -9
1 291 2508 2681 0 -9
1 292 487 2193 1 -9
1 293 487 2193 1 -9
1 294 487 2193 2 -9
1 295 1998 2688 0 -9
1 296 1998 2688 2 -9
1 297 1998 2688 0 -9
1 298 1998 2688 2 -9
1 299 2080 25 2 -9
1 300 2080 25 0 -9
1 301 2080 25 0 -9
1 302 0 0 1 -9
1 303 0 0 2 -9
1 304 1628 2636 0 -9
1 305 352 2607 2 -9
1 306 352 2607 0 -9
138 307 0 0 1 -9
1 308 2612 2450 1 -9
1 309 2612 2450 0 -9
1 310 2612 2450 0 -9
1 311 2612 2450 0 -9
1 312 2191 2381 1 -9
1 313 2191 2381 2 -9
1 314 2191 2381 0 -9
1 315 234 227 2 -9
1 316 2097 2014 0 -9
1 317 2097 2014 2 -9
1 318 2455 2635 0 -9
1 319 1565 2459 0 -9
1 320 1565 2459 0 -9
1 321 1565 2459 0 -9
1 322 1565 2459 0 -9
1 323 2708 118 0 -9
1 324 2708 118 0 -9
1 325 113 2570 0 -9
1 326 113 2570 0 -9
1 327 113 2570 0 -9
139 328 0 0 2 -9
140 329 0 0 1 -9
140 330 0 0 2 -9
1 331 3234 2211 0 -9
1 332 3234 2211 0 -9
1 333 3234 2211 0 -9
1 334 2454 2445 0 -9
1 335 1999 2528 0 -9
1 336 1999 2528 0 -9
1 337 1999 2528 0 -9
1 338 2027 2500 0 -9
1 339 2027 2500 0 -9
1 340 2027 2500 0 -9
140 341 329 330 0 -9
140 342 329 330 0 -9
1 343 790 1574 2 -9
1 344 0 0 1 -9
1 345 0 0 2 -9
142 346 0 0 2 -9
1 347 0 0 2 -9
1 348 0 0 1 -9
1 349 0 0 2 -9
1 350 0 0 2 -9
1 351 0 0 2 -9
1 352 0 0 1 -9
1 353 0 0 2 -9
1 354 0 0 2 -9
735 355 0 0 1 -9
735 356 0 0 2 -9
582 357 0 0 1 -9
1 358 0 0 2 -9
1 359 0 0 1 -9
1 360 0 0 1 -9
1 361 0 0 2 -9
1 362 0 0 2 -9
149 363 0 0 1 -9
1 364 0 0 1 -9
1 365 0 0 2 -9
1 366 0 0 2 -9
1 367 0 0 1 -9
1 368 0 0 1 -9
155 369 0 0 0 -9
1 370 0 0 1 -9
1 371 0 0 1 -9
158 372 0 0 1 -9
159 373 0 0 1 -9
1 374 0 0 2 -9
160 375 0 0 1 -9
1 376 0 0 1 -9
1 377 0 0 2 -9
1 378 0 0 1 -9
167 379 0 0 1 -9
172 380 0 0 2 -9
1 381 0 0 1 -9
1 382 0 0 2 -9
132 383 0 0 1 -9
1 384 0 0 2 -9
1 385 0 0 1 -9
1 386 0 0 2 -9
1 387 0 0 1 -9
1 388 0 0 1 -9
1 389 0 0 2 -9
1 390 0 0 2 -9
1 391 0 0 1 -9
1 392 0 0 1 -9
1 393 0 0 1 -9
1 394 0 0 0 -9
1 395 0 0 1 -9
1 396 0 0 1 -9
1 397 0 0 2 -9
1 398 0 0 1 -9
1 399 0 0 1 -9
1 400 0 0 1 -9
1 401 0 0 1 -9
1 402 0 0 1 -9
1 403 0 0 1 -9
180 404 0 0 2 -9
1 405 0 0 1 -9
1 406 0 0 2 -9
1 407 0 0 1 -9
735 408 0 0 0 -9
735 409 0 0 0 -9
735 410 0 0 2 -9
1 411 0 0 0 -9
1 412 0 0 2 -9
1 413 0 0 2 -9
1 414 0 0 2 -9
1 415 0 0 1 -9
1 416 0 0 1 -9
1 417 0 0 2 -9
1 418 0 0 1 -9
1 419 0 0 2 -9
1 420 0 0 1 -9
1 421 0 0 2 -9
1 422 0 0 2 -9
1 423 0 0 2 -9
1 424 0 0 2 -9
1 425 0 0 2 -9
1 426 0 0 2 -9
1 427 0 0 2 -9
1 428 0 0 1 -9
1 429 0 0 2 -9
183 430 0 0 2 -9
1 431 0 0 2 -9
1 432 0 0 2 -9
1 433 0 0 2 -9
185 434 0 0 1 -9
1 435 0 0 2 -9
186 436 0 0 2 -9
1 437 0 0 1 -9
187 438 0 0 2 -9
188 439 0 0 0 -9
189 440 0 0 0 -9
190 441 0 0 1 -9
191 442 0 0 0 -9
192 443 0 0 2 -9
193 444 0 0 1 -9
194 445 0 0 0 -9
195 446 0 0 2 -9
196 447 0 0 0 -9
197 448 0 0 2 -9
1 449 0 0 2 -9
198 450 0 0 2 -9
131 451 0 0 1 -9
1 452 0 0 2 -9
199 453 0 0 0 -9
200 454 0 0 0 -9
201 455 0 0 0 -9
202 456 0 0 0 -9
1 457 0 0 1 -9
203 458 0 0 2 -9
1 459 0 0 2 -9
1 460 217 216 1 -9
1 461 217 216 2 -9
1 462 378 377 0 -9
1 463 378 377 0 -9
1 464 378 377 0 -9
1 465 378 377 0 -9
1 466 1571 1590 1 -9
1 467 1571 1590 1 -9
1 468 1402 1592 1 -9
1 469 1402 1592 1 -9
1 470 265 267 0 -9
1 471 265 267 2 -9
1 472 1591 1582 0 -9
1 473 1591 1582 1 -9
1 474 1591 1582 1 -9
1 475 1414 358 0 -9
1 476 1414 358 1 -9
1 477 1404 1515 2 -9
1 478 1404 1515 1 -9
1 479 1404 1515 2 -9
1 480 1581 1546 1 -9
1 481 1581 1546 2 -9
1 482 1581 1546 1 -9
1 483 1575 1408 1 -9
1 484 1575 1408 2 -9
1 485 1575 1408 2 -9
1 486 387 1396 1 -9
1 487 387 1396 1 -9
1 488 387 1396 1 -9
1 489 367 425 1 -9
1 490 1481 226 1 -9
1 491 0 0 2 -9
204 492 0 0 1 -9
1 493 1412 1568 0 -9
1 494 1412 1568 0 -9
1 495 234 227 2 -9
1 496 224 218 0 -9
1 497 224 218 1 -9
1 498 224 218 0 -9
1 499 1564 1522 2 -9
1 500 360 390 1 -9
1 501 360 390 0 -9
1 502 213 3076 2 -9
1 503 213 3076 1 -9
1 504 2185 1254 2 -9
1 505 2185 1254 2 -9
1 506 2185 1254 1 -9
1 507 2185 1254 1 -9
1 508 0 0 2 -9
1 509 0 0 2 -9
205 510 0 0 2 -9
1 511 0 0 2 -9
1 512 0 0 2 -9
1 513 4029 1260 1 -9
1 514 4029 1260 1 -9
1 515 1689 3021 1 -9
1 516 1689 3021 1 -9
1 517 1689 3021 1 -9
140 518 542 330 2 -9
140 519 542 330 2 -9
1 520 2228 2036 1 -9
1 521 550 3265 2 -9
1 522 550 3265 2 -9
1 523 790 789 1 -9
1 524 790 789 1 -9
1 525 790 789 2 -9
1 526 213 3076 1 -9
1 527 213 3076 1 -9
1 528 213 3076 2 -9
1 529 1899 2083 1 -9
1 530 1899 2083 2 -9
1 531 1899 2083 1 -9
1 532 1899 2083 2 -9
1 533 2013 2607 2 -9
1 534 2013 2607 2 -9
1 535 2013 2607 2 -9
1 536 3219 2633 1 -9
1 537 3219 2633 2 -9
1 538 3219 2633 1 -9
1 539 3016 305 1 -9
1 540 3016 305 1 -9
1 541 3016 305 1 -9
140 542 0 0 1 -9
1 543 2223 2640 2 -9
1 544 6925 3025 1 -9
1 545 6925 3025 2 -9
1 546 6925 3025 1 -9
1 547 3505 161 1 -9
1 548 3505 161 1 -9
1 549 3505 161 2 -9
1 550 0 0 1 -9
1 551 2191 3065 2 -9
1 552 1265 3228 1 -9
1 553 1265 3228 2 -9
1 554 1265 3228 1 -9
1 555 2508 3150 2 -9
1 556 2508 3150 2 -9
