1	ScYP8k313HRSCAF58ch1
1A	ScYP8k312HRSCAF54ch1A
2	ScYP8k3629HRSCAF770ch2
3	ScYP8k3866HRSCAF1020ch3
4	ScYP8k311HRSCAF50ch4
4A	ScYP8k314HRSCAF84ch4A
5	ScYP8k35HRSCAF18ch5
6	ScYP8k39HRSCAF32ch6
7	ScYP8k34HRSCAF13ch7
8	ScYP8k31HRSCAF1ch8
9	ScYP8k33HRSCAF8ch9
10	ScYP8k32HRSCAF3ch10
11	ScYP8k3869HRSCAF1023ch11
12	ScYP8k3870HRSCAF1029ch12
13	ScYP8k3302HRSCAF431ch13
14	ScYP8k3651HRSCAF793ch14
15	ScYP8k3864HRSCAF1010ch15
17	ScYP8k37HRSCAF29ch17
18	ScYP8k38HRSCAF31ch18
19	ScYP8k36HRSCAF25ch19
20	ScYP8k3865HRSCAF1011ch20
21	ScYP8k369HRSCAF175ch21
22	ScYP8k369HRSCAF175ch22
23	ScYP8k369HRSCAF175ch23
24	ScYP8k369HRSCAF175ch24
25	ScYP8k369HRSCAF175ch25
26	ScYP8k369HRSCAF175ch26
27	ScYP8k369HRSCAF175ch27
28	ScYP8k369HRSCAF175ch28
Z	ScYP8k310HRSCAF43chZ
