Year Indiv Category Genotyped Mom Dad Sex simSex
1990 216 founder Y 0 0 2 2
1990 217 founder Y 0 0 1 1
1990 460 founder Y 216 217 1 1
1990 461 founder Y 216 217 2 2
1990 245 founder Y 0 0 2 2
1990 236 founder Y 0 0 2 2
1990 1408 founder Y 0 0 2 2
1990 1589 founder Y 0 0 1 1
1990 1406 founder Y 0 0 2 2
1990 1520 founder Y 0 0 1 1
1990 1522 founder Y 0 0 2 2
1990 232 founder Y 0 0 1 1
1990 233 founder Y 0 0 1 1
1990 1564 founder Y 0 0 1 1
1990 230 founder Y 0 0 1 1
1990 1521 founder Y 0 0 1 1
1990 215 founder Y 0 0 2 2
1990 1579 founder Y 0 0 1 1
1990 1562 founder Y 0 0 1 1
1990 1559 founder Y 0 0 2 2
1990 1581 founder Y 0 0 1 1
1990 1546 founder Y 0 0 2 2
1990 1563 founder Y 0 0 1 1
1990 221 founder Y 0 0 2 2
1990 1413 founder Y 0 0 2 2
1990 1565 founder Y 0 0 1 1
1990 433 founder Y 0 0 2 2
1990 228 founder Y 0 0 1 1
1990 1571 founder Y 0 0 1 1
1990 1590 founder Y 0 0 2 2
1990 365 founder N 0 0 2 2
1990 422 founder Y 0 0 2 2
1990 1481 founder Y 0 0 1 1
1990 226 founder Y 0 0 2 2
1990 6749 founder Y 0 0 1 1
1990 1523 founder Y 0 0 2 2
1990 234 founder Y 0 0 1 1
1990 400 founder Y 0 0 1 1
1990 227 founder Y 0 0 2 2
1990 424 founder Y 0 0 2 2
1990 391 founder N 0 0 1 1
1990 1515 founder Y 0 0 2 2
1990 224 founder Y 0 0 1 1
1990 218 founder Y 0 0 2 2
1990 1404 founder Y 0 0 1 1
1990 401 founder Y 0 0 1 1
1990 402 founder Y 0 0 1 1
1990 430 founder N 0 0 2 2
1990 428 founder Y 0 0 1 1
1990 240 founder Y 0 0 2 2
1990 429 founder Y 0 0 2 2
1990 385 founder Y 0 0 1 1
1990 384 founder Y 0 0 2 2
1990 235 founder Y 0 0 1 1
1990 1400 founder Y 0 0 1 1
1990 1409 founder Y 0 0 2 2
1990 237 founder Y 0 0 2 2
1990 397 founder Y 0 0 2 2
1990 398 founder Y 0 0 1 1
1990 1570 founder Y 0 0 1 1
1990 2783 founder Y 0 0 2 2
1990 243 founder Y 0 0 2 2
1990 222 founder Y 0 0 2 2
1990 2734 founder Y 0 0 1 1
1990 244 founder Y 0 0 1 1
1990 214 founder Y 0 0 2 2
1990 1410 founder Y 0 0 1 1
1990 386 founder Y 0 0 2 2
1990 354 founder Y 0 0 2 2
1990 1395 founder Y 0 0 1 1
1990 1514 founder Y 0 0 2 2
1990 420 founder Y 0 0 1 1
1990 421 founder Y 0 0 2 2
1990 427 founder Y 0 0 2 2
1990 387 founder Y 0 0 1 1
1990 1396 founder Y 0 0 2 2
1990 352 founder Y 0 0 1 1
1990 353 founder Y 0 0 2 2
1990 423 founder Y 0 0 2 2
1990 1573 founder Y 0 0 1 1
1990 361 founder Y 0 0 2 2
1990 1412 founder Y 0 0 1 1
1990 1568 founder Y 0 0 2 2
1990 231 founder Y 0 0 1 1
1990 419 founder Y 0 0 2 2
1990 452 founder N 0 0 2 2
1990 431 founder Y 0 0 2 2
1990 241 founder Y 0 0 1 1
1990 374 founder Y 0 0 2 2
1990 1519 founder N 0 0 1 1
1990 403 founder Y 0 0 1 1
1990 1572 founder Y 0 0 2 2
1990 1580 founder Y 0 0 2 2
1990 223 founder Y 0 0 1 1
1990 466 founder Y 1590 1571 1 1
1990 467 founder Y 1590 1571 1 1
1990 1592 founder Y 0 0 2 2
1990 1402 founder Y 0 0 1 1
1990 468 founder Y 1592 1402 1 1
1990 469 founder N 1592 1402 1 1
1990 267 founder Y 0 0 2 2
1990 265 founder N 0 0 1 1
1990 470 founder N 267 265 0 1
1990 471 founder Y 267 265 2 2
1990 358 founder Y 0 0 2 2
1990 1414 founder Y 0 0 1 1
1990 475 founder N 358 1414 0 1
1990 476 founder Y 358 1414 1 1
1990 1582 founder N 0 0 2 2
1990 1591 founder N 0 0 1 1
1990 472 founder N 1582 1591 0 2
1990 473 founder Y 1582 1591 1 1
1990 474 founder Y 1582 1591 1 1
1990 1575 founder Y 0 0 1 1
1990 480 founder Y 1546 1581 1 1
1990 481 founder Y 1546 1581 2 2
1990 482 founder Y 1546 1581 1 1
1990 483 founder Y 1408 1575 1 1
1990 484 founder Y 1408 1575 2 2
1990 485 founder Y 1408 1575 2 2
1990 2243 founder Y 1408 1575 1 1
1990 486 founder Y 1396 387 1 1
1990 487 founder Y 1396 387 1 1
1990 488 founder Y 1396 387 1 1
1990 1574 founder Y 0 0 2 2
1990 418 founder Y 0 0 1 1
1990 1634 founder Y 0 0 2 2
1990 1397 founder Y 0 0 2 2
1990 364 founder Y 0 0 1 1
1990 1633 founder Y 0 0 1 1
1990 242 founder Y 0 0 1 1
1990 1688 founder N 1397 242 0 1
1990 1689 founder N 1397 242 1 1
1990 417 founder Y 0 0 2 2
1990 394 founder N 0 0 0 2
1990 393 founder Y 0 0 1 1
1990 348 founder Y 0 0 1 1
1990 266 founder Y 0 0 1 1
1990 264 founder Y 0 0 2 2
1990 415 founder Y 0 0 1 1
1990 395 founder N 0 0 1 1
1990 356 founder N 0 0 2 2
1990 229 founder Y 0 0 2 2
1990 370 founder Y 0 0 1 1
1990 1398 founder Y 0 0 2 2
1990 1593 founder Y 0 0 1 1
1990 490 founder Y 226 1481 1 1
1990 493 founder N 1568 1412 0 1
1990 494 founder N 1568 1412 0 1
1990 1578 founder Y 0 0 2 2
1990 254 founder Y 0 0 1 1
1990 425 founder Y 0 0 2 2
1990 367 founder N 0 0 1 1
1990 489 founder N 425 367 1 1
1990 1567 founder Y 0 0 2 2
1990 392 founder N 0 0 1 1
1990 1627 founder N 1567 392 0 2
1990 315 founder Y 227 234 2 2
1990 495 founder Y 227 234 2 2
1990 496 founder N 218 224 0 2
1990 497 founder Y 218 224 1 1
1990 498 founder N 218 224 0 1
1990 262 founder Y 0 0 2 2
1990 499 founder Y 1522 1564 2 2
1990 390 founder Y 0 0 2 2
1990 360 founder N 0 0 1 1
1990 500 founder Y 390 360 1 1
1990 501 founder N 390 360 0 1
1990 1628 founder Y 1523 6749 1 1
1990 1884 founder Y 0 0 1 1
1990 366 founder Y 0 0 2 2
1990 220 founder Y 0 0 2 2
1990 359 founder N 0 0 1 1
1990 1629 founder Y 220 359 1 1
1990 1630 founder N 220 359 0 2
1990 1631 founder Y 220 359 1 1
1990 1632 founder N 220 359 0 1
1990 1652 founder Y 1413 1563 2 2
1990 1648 founder Y 215 1521 2 2
1990 1649 founder Y 215 1521 1 1
1990 1650 founder Y 215 1521 2 2
1990 1651 founder Y 215 1521 2 2
1990 219 founder N 0 0 2 2
1990 1518 founder Y 0 0 1 1
1990 426 founder Y 0 0 2 2
1990 239 founder N 0 0 1 1
1990 1655 founder Y 374 1884 1 1
1990 1656 founder N 426 239 0 1
1990 1657 founder N 426 239 0 2
1990 1658 founder N 426 239 0 1
1990 1659 founder Y 1580 223 2 2
1990 1660 founder Y 1580 223 1 1
1990 479 founder Y 1515 1404 2 2
1990 478 founder Y 1515 1404 1 1
1990 477 founder Y 1515 1404 2 2
1990 1663 founder Y 384 385 1 1
1990 1664 founder Y 384 385 2 2
1990 1669 founder N 1398 370 0 1
1990 1670 founder Y 1398 370 1 1
1990 1671 founder Y 1398 370 1 1
1990 1673 founder Y 219 1518 2 2
1990 1674 founder Y 219 1518 1 1
1990 1682 founder Y 1559 1562 1 1
1990 1683 founder Y 1546 1581 1 1
1990 1684 founder Y 1546 1581 1 1
1990 408 founder N 0 0 0 1
1990 1685 founder Y 1522 1564 1 1
1990 1686 founder N 1522 1564 0 1
1990 1687 founder N 1522 1564 0 1
1990 368 founder N 0 0 1 1
1990 1694 founder Y 1592 1402 1 1
1991 1720 nestling Y 216 217 1 1
1991 1721 nestling Y 216 217 1 1
1991 1726 nestling Y 267 266 2 2
1991 1727 nestling N 267 265 0 2
1991 1728 nestling Y 267 265 2 2
1991 1729 nestling Y 267 266 1 1
1991 1722 nestling Y 1396 387 1 1
1991 1723 nestling Y 1396 387 1 1
1991 1724 nestling Y 1396 387 1 1
1991 1725 nestling Y 1396 387 2 2
1991 1731 nestling Y 358 1518 1 1
1991 1732 nestling Y 358 1518 1 1
1991 1733 nestling Y 1572 1519 1 1
1991 1734 nestling Y 1572 1519 1 1
1991 1736 nestling Y 226 1481 2 2
1991 1737 nestling Y 226 1481 1 1
1991 1738 nestling Y 226 1481 1 1
1991 1739 nestling Y 226 1481 2 2
1991 1740 nestling Y 433 228 1 1
1991 1766 nestling Y 365 230 2 2
1991 1748 nestling Y 429 371 2 2
1991 1749 nestling Y 429 371 1 1
1991 1750 nestling Y 429 371 2 2
1991 1751 nestling Y 429 371 1 1
1991 1767 nestling Y 1546 1565 1 1
1991 1768 nestling Y 1546 1565 2 2
1991 1769 nestling Y 1546 1565 2 2
1991 1770 nestling Y 1546 1565 2 2
1991 1744 nestling Y 1522 1564 2 2
1991 1745 nestling Y 1522 1564 2 2
1991 1746 nestling Y 1522 1564 2 2
1991 1747 nestling N 1522 1564 2 2
1991 1752 nestling Y 1577 388 2 2
1991 1753 nestling Y 1577 388 2 2
1991 1754 nestling Y 1577 388 2 2
1991 1755 nestling N 426 239 0 2
1991 1756 nestling N 426 239 0 2
1991 1757 nestling N 426 239 1 1
1991 1758 nestling N 426 239 0 2
1991 1761 nestling Y 452 241 1 1
1991 1762 nestling Y 452 241 1 1
1991 1763 nestling Y 227 234 2 2
1991 1764 nestling Y 227 234 1 1
1991 1765 nestling Y 227 234 2 2
1991 1735 nestling Y 229 1519 2 2
1991 1760 nestling N 1567 392 0 2
1991 1774 nestling Y 237 1579 1 1
1991 1775 nestling Y 237 1579 2 2
1991 1776 nestling Y 237 1579 1 1
1991 1777 nestling Y 245 231 1 1
1991 1778 nestling Y 245 231 1 1
1991 1779 nestling Y 245 231 2 2
1991 1782 nestling Y 427 1395 2 2
1991 1783 nestling Y 427 1395 2 2
1991 1784 nestling Y 427 1395 2 2
1991 1780 nestling Y 422 232 1 1
1991 1781 nestling Y 422 232 2 2
1991 1785 nestling Y 413 1691 1 1
1991 1786 nestling Y 413 1691 2 2
1991 1787 nestling Y 413 1691 2 2
1991 1788 nestling Y 1717 428 1 1
1991 1789 nestling Y 1717 428 1 1
1991 1790 nestling Y 1717 428 1 1
1991 1791 nestling Y 374 1884 2 2
1991 1792 nestling Y 374 1884 2 2
1991 1793 nestling Y 374 1884 2 2
1991 1794 nestling Y 1578 254 2 2
1991 1795 nestling Y 1578 254 2 2
1991 3307 nestling Y 1578 254 1 1
1991 1887 nestling N 1574 418 0 1
1991 1796 nestling Y 243 348 2 2
1991 1797 nestling Y 243 348 2 2
1991 1798 nestling Y 243 348 1 1
1991 1799 nestling Y 1515 1713 1 1
1991 1800 nestling Y 1515 1713 1 1
1991 1801 nestling Y 1515 1713 1 1
1991 1802 nestling Y 218 224 2 2
1991 1803 nestling Y 218 224 1 1
1991 1804 nestling Y 218 224 1 1
1991 1808 nestling Y 222 1571 1 1
1991 1809 nestling Y 222 1571 2 2
1991 1810 nestling Y 222 1571 1 1
1991 1805 nestling Y 1693 1562 2 2
1991 1806 nestling Y 1693 1562 1 1
1991 1807 nestling Y 1693 1562 2 2
1991 1811 nestling Y 386 1410 2 2
1991 1812 nestling Y 386 1410 1 1
1991 1813 nestling Y 386 1410 2 2
1991 1814 nestling Y 361 1573 2 2
1991 1815 nestling Y 361 1573 2 2
1991 1816 nestling Y 361 1573 2 2
1991 1817 nestling Y 1409 398 1 1
1991 1818 nestling Y 1409 398 2 2
1991 1821 nestling Y 1692 400 1 1
1991 1822 nestling Y 1692 400 1 1
1991 1823 nestling Y 1692 400 2 2
1991 1824 nestling Y 1692 400 1 1
1991 1886 nestling Y 1406 1520 2 2
1991 6777 nestling N 1406 1520 0 2
1991 1825 nestling Y 1634 1575 1 1
1991 1826 nestling Y 1634 1575 2 2
1991 1827 nestling Y 1819 403 2 2
1991 1828 nestling Y 1819 403 2 2
1991 1829 nestling Y 1819 403 2 2
1991 1830 nestling Y 1396 387 1 1
1991 1831 nestling Y 214 244 2 2
1991 1832 nestling Y 214 244 1 1
1991 1843 nestling N 384 352 2 2
1991 1844 nestling Y 384 352 2 2
1991 1852 nestling Y 1522 1564 1 1
1991 1853 nestling Y 1523 235 2 2
1991 1854 nestling Y 1523 235 1 1
1991 1855 nestling Y 1523 235 1 1
1991 1856 nestling Y 1515 1713 1 1
1991 1857 nestling Y 1515 1713 1 1
1991 1858 nestling Y 1515 1713 1 1
1991 216 survivor Y 0 0 2 2
1991 217 survivor Y 0 0 1 1
1991 460 survivor Y 216 217 1 1
1991 461 survivor Y 216 217 2 2
1991 245 survivor Y 0 0 2 2
1991 1589 survivor Y 0 0 1 1
1991 1406 survivor Y 0 0 2 2
1991 1520 survivor Y 0 0 1 1
1991 1522 survivor Y 0 0 2 2
1991 232 survivor Y 0 0 1 1
1991 233 survivor Y 0 0 1 1
1991 1564 survivor Y 0 0 1 1
1991 230 survivor Y 0 0 1 1
1991 215 survivor Y 0 0 2 2
1991 1579 survivor Y 0 0 1 1
1991 1562 survivor Y 0 0 1 1
1991 1546 survivor Y 0 0 2 2
1991 1563 survivor Y 0 0 1 1
1991 1565 survivor Y 0 0 1 1
1991 433 survivor Y 0 0 2 2
1991 228 survivor Y 0 0 1 1
1991 1571 survivor Y 0 0 1 1
1991 365 survivor N 0 0 2 2
1991 422 survivor Y 0 0 2 2
1991 1481 survivor Y 0 0 1 1
1991 226 survivor Y 0 0 2 2
1991 1523 survivor Y 0 0 2 2
1991 234 survivor Y 0 0 1 1
1991 400 survivor Y 0 0 1 1
1991 227 survivor Y 0 0 2 2
1991 424 survivor Y 0 0 2 2
1991 1515 survivor Y 0 0 2 2
1991 224 survivor Y 0 0 1 1
1991 218 survivor Y 0 0 2 2
