marker	SNP	chr	mb	SNP_impact	geneName	cmmb	logcmmb_quantile
s915p195578	s915p195578	Z	0.202024	upstream_gene_variant	b1_b1_g10070	NA	NA
s915p229117	s915p229117	Z	0.235623	intron_variant	b2_b2_g40	NA	NA
s1099p13748	s1099p13748	Z	0.27332	intron_variant	b1_b1_g10078	NA	NA
s1099p15478	s1099p15478	Z	0.27505	intron_variant	b1_b1_g10078	NA	NA
s1099p71720	s1099p71720	Z	0.331277	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_316556_318922-GENE_ScYP8k310HRSCAF43chZ_342442_348988	NA	NA
s1099p72112	s1099p72112	Z	0.331669	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_316556_318922-GENE_ScYP8k310HRSCAF43chZ_342442_348988	NA	NA
s1099p91872	s1099p91872	Z	0.35143	upstream_gene_variant	b1_b1_g10086	NA	NA
s1099p152398	s1099p152398	Z	0.411585	downstream_gene_variant	b1_b1_g10091	NA	NA
s1099p178988	s1099p178988	Z	0.438417	downstream_gene_variant	b1_b1_g10097	NA	NA
s9137p3631	s9137p3631	Z	0.478598	missense_variant	b2_b2_g67	NA	NA
s1453p38432	s1453p38432	Z	1.122892	intron_variant	b1_b1_g10136	4.2794358019156	very high
s3093p52511	s3093p52511	Z	1.194101	downstream_gene_variant	b1_b1_g10141	4.2794358019156	very high
s3093p23830	s3093p23830	Z	1.222735	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_1161467_1190503-GENE_ScYP8k310HRSCAF43chZ_1292621_1297951	4.2794358019156	very high
s1750p94382	s1750p94382	Z	1.34697	intron_variant	b1_b1_g10152	4.2794358019156	very high
s4507p30116	s4507p30116	Z	1.648553	downstream_gene_variant	b1_b1_g10160	9.45316555137746	very high
s2914p83559	s2914p83559	Z	1.894577	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_1865254_1872093-GENE_ScYP8k310HRSCAF43chZ_1944706_2109146	9.45316555137746	very high
s2914p84185	s2914p84185	Z	1.895203	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_1865254_1872093-GENE_ScYP8k310HRSCAF43chZ_1944706_2109146	9.45316555137746	very high
s1832p14437	s1832p14437	Z	2.054537	intron_variant	b1_b1_g10177	9.45316555137746	very high
s4309p49394	s4309p49394	Z	2.212936	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_2177228_2180699-GENE_ScYP8k310HRSCAF43chZ_2422966_2428086	9.45316555137746	very high
s1351p15391	s1351p15391	Z	2.674665	intron_variant	b1_b1_g10186	8.73809244538741	very high
s27p1707883	s27p1707883	Z	3.358895	upstream_gene_variant	b2_b2_g184	8.73809244538741	very high
s27p1197336	s27p1197336	Z	3.869231	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_3774897_3863091-GENE_ScYP8k310HRSCAF43chZ_3884665_3892657	0.148915658476526	very low
s50p876527	s50p876527	Z	6.702987	intron_variant	b1_b1_g10302	0.148915658476522	very low
s1761p134471	s1761p134471	Z	8.615766	upstream_gene_variant	b2_b2_g287	0.148915658476526	very low
s491p376143	s491p376143	Z	10.476131	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_10464374_10465387-GENE_ScYP8k310HRSCAF43chZ_10516465_10519294	0.15052636223802	very low
s116p632299	s116p632299	Z	11.19448	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_11053346_11058090-GENE_ScYP8k310HRSCAF43chZ_11604819_11625996	0.157955902331988	very low
s116p528614	s116p528614	Z	11.295516	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_11053346_11058090-GENE_ScYP8k310HRSCAF43chZ_11604819_11625996	0.157955902331988	very low
s3434p54688	s3434p54688	Z	11.84104	intron_variant	b1_b1_g10404	0.171699487392032	very low
s2111p13823	s2111p13823	Z	11.912939	intron_variant	b1_b1_g10404	0.171699487392032	very low
s488p215492	s488p215492	Z	13.008211	intron_variant	b1_b1_g10419	0.579746627812959	very low
s845p214708	s845p214708	Z	13.229096	intron_variant	b1_b1_g10419	0.579746627812959	very low
s719p100242	s719p100242	Z	13.648205	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_13610550_13616786-GENE_ScYP8k310HRSCAF43chZ_13705205_13718534	0.571638913043299	very low
s7297p5967	s7297p5967	Z	13.842384	downstream_gene_variant	b1_b1_g10428	0.571638913043299	very low
s1079p40601	s1079p40601	Z	14.085186	intron_variant	b1_b1_g10433	0.571638913043299	very low
s809p54777	s809p54777	Z	14.757898	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_14639663_14639896-GENE_ScYP8k310HRSCAF43chZ_15009962_15011263	0.488061036650974	very low
s809p9714	s809p9714	Z	14.804088	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_14639663_14639896-GENE_ScYP8k310HRSCAF43chZ_15009962_15011263	0.488061036650974	very low
s809p8625	s809p8625	Z	14.805177	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_14639663_14639896-GENE_ScYP8k310HRSCAF43chZ_15009962_15011263	0.488061036650974	very low
