#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
MSTRG.1.1	275	30	0.38085	8.938879966735843	1	0.00946599	noncoding
MSTRG.2.1	1014	67	0.32055999999999996	6.389521217346191	1	0.0378348	noncoding
MSTRG.3.1	719	205	0.37594	6.320120811462403	1	0.995245	coding
MSTRG.4.1	388	17	0.40054999999999996	5.75320873260498	1	0.00415625	noncoding
MSTRG.5.1	672	166	0.38126999999999994	10.481157112121583	-1	0.203491	noncoding
MSTRG.6.1	4062	418	0.36662	8.451241111755373	1	0.999999	coding
MSTRG.7.1	1137	218	0.31149	11.37443103790283	1	0.680103	coding
MSTRG.8.1	590	67	0.28665999999999997	8.71833362579346	1	0.0306063	noncoding
MSTRG.9.1	1578	28	0.25891000000000003	8.253774452209473	1	0.0107657	noncoding
MSTRG.10.1	255	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.11.1	6449	453	0.27706	9.490278053283692	1	0.999457	coding
MSTRG.11.2	8366	453	0.26225	9.490278053283692	1	0.998403	coding
MSTRG.12.1	561	0	0.43656000000000006	0.0	-1	0.0271173	noncoding
MSTRG.13.1	243	17	0.3952	5.275022315979004	-1	0.0119677	noncoding
MSTRG.14.1	928	78	0.26799	11.548818016052245	1	0.0553758	noncoding
MSTRG.15.1	270	39	0.44329	8.496433448791507	1	0.0235594	noncoding
MSTRG.16.1	764	75	0.36442	10.986911582946778	1	0.0784296	noncoding
MSTRG.17.1	819	107	0.35652	11.544047355651855	1	0.172829	noncoding
MSTRG.18.1	698	41	0.36988	10.916189765930174	1	0.0235669	noncoding
MSTRG.19.1	3365	184	0.28039000000000003	8.958413887023926	1	0.568568	coding
MSTRG.19.2	2173	184	0.29733000000000004	8.958413887023926	1	0.658113	coding
MSTRG.19.3	4522	486	0.35064	11.259612846374512	-1	0.141783	noncoding
MSTRG.19.4	2142	184	0.29733000000000004	8.958413887023926	1	0.658113	coding
MSTRG.19.5	3079	184	0.29027000000000003	8.958413887023926	1	0.620692	coding
MSTRG.19.6	4467	486	0.35932	11.259612846374512	-1	0.186383	noncoding
MSTRG.19.7	3027	184	0.31337000000000004	8.958413887023926	1	0.747122	coding
MSTRG.20.1	2392	184	0.28865	8.958413887023926	1	0.612058	coding
MSTRG.20.2	2052	184	0.29733000000000004	8.958413887023926	1	0.658113	coding
MSTRG.20.3	2471	184	0.28865	8.958413887023926	1	0.612058	coding
MSTRG.20.4	4476	486	0.35932	11.259612846374512	-1	0.186383	noncoding
MSTRG.20.5	535	98	0.39064000000000004	10.403472709655762	1	0.251337	noncoding
MSTRG.21.1	538	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.22.1	24797	1041	0.25691	10.282916831970212	1	1	coding
MSTRG.22.2	24797	1041	0.25691	10.282916831970212	1	1	coding
MSTRG.22.3	24767	1041	0.25691	10.282916831970212	1	1	coding
MSTRG.23.1	86843	431	0.29103	6.38019962310791	1	0.999998	coding
MSTRG.23.2	86834	431	0.29103	6.38019962310791	1	0.999998	coding
MSTRG.23.3	86828	431	0.29103	6.38019962310791	1	0.999998	coding
MSTRG.23.4	86827	431	0.29103	6.38019962310791	1	0.999998	coding
MSTRG.24.1	5278	341	0.27182	9.899007606506348	1	0.97339	coding
MSTRG.25.1	2550	217	0.32545	9.484604835510254	1	0.920665	coding
MSTRG.25.2	1361	114	0.37027000000000004	9.217512321472167	-1	0.130876	noncoding
MSTRG.26.1	8148	234	0.37159	5.47282199859619	1	0.999535	coding
MSTRG.27.1	8018	143	0.28019	7.570067024230958	1	0.368944	noncoding
MSTRG.28.1	4228	299	0.34504	9.736482810974117	1	0.998129	coding
MSTRG.28.2	4228	299	0.34504	9.736482810974117	1	0.998129	coding
MSTRG.28.3	4215	299	0.34504	9.736482810974117	1	0.998129	coding
MSTRG.28.4	4214	299	0.34504	9.736482810974117	1	0.998129	coding
MSTRG.29.1	9995	233	0.31586000000000003	9.730745124816895	1	0.926694	coding
MSTRG.29.2	9995	233	0.31586000000000003	9.730745124816895	1	0.926694	coding
MSTRG.30.1	3409	177	0.29270999999999997	8.983749961853029	1	0.575952	coding
MSTRG.30.2	3409	177	0.29270999999999997	8.983749961853029	1	0.575952	coding
MSTRG.30.3	3409	177	0.29270999999999997	8.983749961853029	1	0.575952	coding
MSTRG.30.4	3409	177	0.29270999999999997	8.983749961853029	1	0.575952	coding
MSTRG.31.1	759	116	0.41272	11.904876899719238	1	0.410547	noncoding
MSTRG.32.1	440	109	0.37404	8.77048854827881	1	0.304351	noncoding
MSTRG.33.1	878	187	0.38417	8.518417167663575	-1	0.17699	noncoding
MSTRG.34.1	15640	237	0.27595000000000003	5.688469123840332	1	0.99296	coding
MSTRG.34.2	10012	237	0.27618000000000004	5.688469123840332	1	0.992987	coding
MSTRG.34.3	12990	237	0.2787	5.688469123840332	1	0.993289	coding
