Busco_id	Status	Sequence	Gene_Start	Gene_End	Strand	Score	Length	OrthoDBurl	Description
23at8782	Complete	ScYP8k310HRSCAF43chZ	11681321	11932554	+	9888.4	5136
29at8782	Complete	ScYP8k3866HRSCAF1020ch3	20573769	20959798	+	9325.1	4634
40at8782	Complete	ScYP8k3866HRSCAF1020ch3	78160111	78251743	+	9067.0	4793
52at8782	Complete	ScYP8k369HRSCAF175ch21	6779082	6877395	+	8530.6	4316
61at8782	Complete	ScYP8k311HRSCAF50ch4	69189271	69269390	-	9656.0	4396	https://www.orthodb.org/v10?query=61at8782	uncharacterized protein KIAA1109 homolog
64at8782	Complete	ScYP8k35HRSCAF18ch5	10861216	10906219	-	9696.9	4250	https://www.orthodb.org/v10?query=64at8782	cytoplasmic dynein 1 heavy chain 1
69at8782	Complete	ScYP8k313HRSCAF58ch1	85274341	85377897	+	9842.3	4416
71at8782	Complete	ScYP8k313HRSCAF58ch1	46383020	46413998	-	8528.0	3957	https://www.orthodb.org/v10?query=71at8782	sacsin
73at8782	Complete	ScYP8k38HRSCAF31ch18	760991	803539	+	8095.0	4236	https://www.orthodb.org/v10?query=73at8782	LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase RNF213-like
75at8782	Complete	ScYP8k35HRSCAF18ch5	36999852	37085001	-	7305.1	4168
77at8782	Complete	ScYP8k3866HRSCAF1020ch3	106460793	106496488	-	7863.7	4045
92at8782	Complete	ScYP8k32HRSCAF3ch10	17104194	17173777	-	9140.9	4287	https://www.orthodb.org/v10?query=92at8782	probable E3 ubiquitin-protein ligase HERC1
106at8782	Complete	ScYP8k3866HRSCAF1020ch3	36035256	36213652	+	8719.7	4131
115at8782	Complete	ScYP8k3864HRSCAF1010ch15	12084736	12135709	+	6476.8	3451
117at8782	Complete	ScYP8k369HRSCAF175ch21	4861855	4957042	-	7611.7	3810
134at8782	Complete	ScYP8k3629HRSCAF770ch2	149483040	149644853	+	7907.4	4082	https://www.orthodb.org/v10?query=134at8782	LOW QUALITY PROTEIN: histone-lysine N-methyltransferase 2C-like
135at8782	Complete	ScYP8k3651HRSCAF793ch14	8646269	8692586	+	6808.7	3543
137at8782	Complete	ScYP8k3864HRSCAF1010ch15	10522521	10586795	+	7905.0	3686
138at8782	Complete	ScYP8k313HRSCAF58ch1	41690465	41846989	+	7489.4	3781	https://www.orthodb.org/v10?query=138at8782	cytoplasmic dynein 2 heavy chain 1
141at8782	Complete	ScYP8k311HRSCAF50ch4	72106983	72213852	-	5462.9	3128
148at8782	Complete	ScYP8k3870HRSCAF1029ch12	14893600	14960200	-	6925.9	3645
150at8782	Complete	ScYP8k3629HRSCAF770ch2	43295890	43378285	+	6957.3	3553	https://www.orthodb.org/v10?query=150at8782	DNA-dependent protein kinase catalytic subunit
161at8782	Complete	ScYP8k3629HRSCAF770ch2	22306994	22740492	-	3744.9	1871
179at8782	Complete	ScYP8k310HRSCAF43chZ	52502506	52549086	+	5753.5	3627	https://www.orthodb.org/v10?query=179at8782	cardiomyopathy-associated protein 5
193at8782	Complete	ScYP8k312HRSCAF54ch1A	64858941	65198073	-	5875.7	3391	https://www.orthodb.org/v10?query=193at8782	protein piccolo
